station_id,day_of_week,hour,actual_bikes
77,5,5,21.119047619047617
77,5,6,21.752442002442002
77,5,7,21.81346153846154
77,5,8,22.868284493284495
77,5,9,23.15674603174603
77,5,10,19.90702908202908
77,5,11,19.727827727827727
77,5,12,21.2983571983572
77,5,13,22.722902097902097
77,5,14,24.21001776001776
77,5,15,23.463111888111886
77,5,16,24.039957264957266
77,5,17,24.18672161172161
77,5,18,24.640373515373515
77,5,19,25.01419413919414
77,5,20,25.35927960927961
77,5,21,25.39423076923077
77,5,22,25.383852258852258
77,5,23,26.156898656898655
77,6,0,26.384615384615383
77,6,1,26.384615384615383
77,6,2,26.384615384615383
77,6,3,26.384615384615383
77,6,4,26.437728937728938
77,6,5,26.59551282051282
77,6,6,26.817918192918192
77,6,7,27.66300366300366
77,6,8,27.237271062271063
77,6,9,24.633441558441557
77,6,10,23.744366744366744
77,6,11,22.884848484848483
77,6,12,22.78550061050061
77,6,13,22.84299034299034
77,6,14,23.31614774114774
77,6,15,22.760470085470086
77,6,16,23.362440337440336
77,6,17,23.93038628038628
77,6,18,23.027103452103454
77,6,19,23.013431013431013
77,6,20,23.33882783882784
77,6,21,23.251221001221
77,6,22,23.661935286935286
77,6,23,23.483150183150183
78,0,0,5.6923076923076925
78,0,1,5.6923076923076925
78,0,2,5.6923076923076925
78,0,3,5.6923076923076925
78,0,4,5.571428571428571
78,0,5,4.908882783882784
78,0,6,4.573107448107448
78,0,7,3.195665445665446
78,0,8,1.8603479853479854
78,0,9,1.4670329670329672
78,0,10,1.6607142857142858
78,0,11,2.4748168498168495
78,0,12,3.0056193806193807
78,0,13,2.957112332112332
78,0,14,2.9549755799755797
78,0,15,2.995879120879121
78,0,16,3.6453907203907203
78,0,17,6.022832722832723
78,0,18,6.755189255189255
78,0,19,7.2754884004884
78,0,20,7.593406593406594
78,0,21,7.92032967032967
78,0,22,8.736263736263735
78,0,23,9.370421245421245
78,1,0,9.538461538461538
78,1,1,9.538461538461538
78,1,2,9.538461538461538
78,1,3,9.538461538461538
78,1,4,9.250457875457876
78,1,5,8.473443223443223
78,1,6,8.533882783882785
78,1,7,5.888064713064713
78,1,8,2.818070818070818
78,1,9,2.446123321123321
78,1,10,1.9471916971916972
78,1,11,1.8057081807081805
78,1,12,2.8626373626373627
78,1,13,3.1875763125763124
78,1,14,3.4444444444444438
78,1,15,2.8542429792429798
78,1,16,4.247252747252747
78,1,17,5.084737484737484
78,1,18,5.212454212454213
78,1,19,5.794871794871795
78,1,20,6.231532356532356
78,1,21,7.043040293040293
78,1,22,8.227472527472527
78,1,23,8.781593406593407
78,2,0,9.0
78,2,1,9.0
78,2,2,9.0
78,2,3,9.0
78,2,4,8.76923076923077
78,2,5,7.918498168498169
78,2,6,7.929822954822955
78,2,7,5.228418803418804
78,2,8,2.3382173382173383
78,2,9,3.085805860805861
78,2,10,3.840659340659341
78,2,11,3.81959706959707
78,2,12,4.122863247863248
78,2,13,4.45528083028083
78,2,14,4.8931623931623935
78,2,15,3.522130647130647
78,2,16,3.567796092796093
78,2,17,5.3160506160506165
78,2,18,5.558760683760683
78,2,19,6.069627594627595
78,2,20,5.9854090354090355
78,2,21,6.282509157509158
78,2,22,7.469627594627595
78,2,23,8.319291819291818
78,3,0,8.615384615384615
78,3,1,8.615384615384615
78,3,2,8.666666666666666
78,3,3,8.666666666666666
78,3,4,8.367063492063492
78,3,5,7.315476190476191
78,3,6,7.925892857142856
78,3,7,5.909689153439153
78,3,8,3.920965608465609
78,3,9,3.236111111111111
78,3,10,2.9542124542124544
78,3,11,3.693376068376068
78,3,12,3.902014652014652
78,3,13,4.008089133089133
78,3,14,4.589285714285714
78,3,15,4.152472527472527
78,3,16,4.386599511599512
78,3,17,5.5420940170940165
78,3,18,6.850885225885226
78,3,19,7.398351648351649
78,3,20,7.151251526251526
78,3,21,7.344017094017095
78,3,22,8.563034188034187
78,3,23,9.590659340659341
78,4,0,9.692307692307692
78,4,1,9.692307692307692
78,4,2,9.692307692307692
78,4,3,9.692307692307692
78,4,4,9.453296703296703
78,4,5,8.73550061050061
78,4,6,9.31931956931957
78,4,7,8.666941391941391
78,4,8,7.6440781440781445
78,4,9,7.2177960927960925
78,4,10,6.662393162393163
78,4,11,6.4919108669108665
78,4,12,6.855311355311356
78,4,13,6.728021978021977
78,4,14,6.476495726495727
78,4,15,5.510561660561661
78,4,16,5.761752136752136
78,4,17,6.856249306249306
78,4,18,7.106990231990232
78,4,19,7.517399267399268
78,4,20,7.7173382173382175
78,4,21,8.402930402930403
78,4,22,8.9757326007326
78,4,23,10.08058608058608
78,5,0,10.384615384615385
78,5,1,10.384615384615385
78,5,2,10.384615384615385
78,5,3,10.384615384615385
78,5,4,10.384615384615385
78,5,5,10.119505494505493
78,5,6,9.676434676434678
78,5,7,8.663461538461538
78,5,8,7.286019536019537
78,5,9,6.891941391941392
78,5,10,7.215201465201465
