day_of_week,hour,mean_occupancy,mean_bikes,pct_hours_empty
3,20,0.3735321263019243,11.781744050397768,0.2531815137307435
3,21,0.3748594874391177,11.85229744580046,0.261219022103148
3,22,0.3758273039131842,11.937942988395099,0.2839919624916276
3,23,0.3787554853255389,12.064336963549957,0.28466175485599465
4,0,0.3811503219352864,12.13832408381973,0.29068988613529806
4,1,0.38144501427121047,12.145631996938093,0.29068988613529806
4,2,0.3816245006642947,12.152731233243967,0.29088471849865954
4,3,0.3816265951683162,12.152815013404826,0.29088471849865954
4,4,0.3762806608473556,11.998086040411778,0.2801608579088472
4,5,0.3652008023781257,11.695771362611175,0.22989276139410186
4,6,0.3574714942954476,11.488353106902034,0.18833780160857908
4,7,0.3393626686688836,10.931799757436487,0.14410187667560323
4,8,0.35213314553356856,11.183832024767012,0.1427613941018767
4,9,0.36149550307293454,11.396827331143685,0.15415549597855227
4,10,0.3597662157188771,11.292664388039722,0.16621983914209115
4,11,0.3543727641546466,11.072386034802255,0.16689008042895442
4,12,0.3586012280454297,11.188537761761621,0.1554959785522788
4,13,0.3618469917166111,11.270060428103324,0.1467828418230563
4,14,0.36234859075172926,11.26239792432023,0.12793034159410582
4,15,0.35808680421647454,11.070697067314615,0.14132618888144674
4,16,0.35505645041232187,10.935979979683932,0.17548559946416611
4,17,0.36437219242410845,11.194799540713806,0.2042866711319491
4,18,0.37334087392919363,11.445556609052927,0.20294708640321502
4,19,0.38163621432516204,11.683187873375415,0.19356999330207636
4,20,0.38576894267467493,11.79739793398534,0.19624916275954454
4,21,0.3854517506163993,11.805152834439506,0.19089082384460818
4,22,0.3855144633119282,11.851950009133533,0.18821165438714
4,23,0.3875138684724838,11.96271892690178,0.18352310783657066
5,0,0.39070254500164686,12.073249237180917,0.19156061620897522
5,1,0.3911420731285348,12.084824418715913,0.19156061620897522
5,2,0.39132854423405666,12.089704334513444,0.19156061620897522
5,3,0.39135166801806465,12.090421969189551,0.19156061620897522
5,4,0.39019657927988205,12.053799476924059,0.18620227729403885
5,5,0.38898062552385143,11.99356441169904,0.17950435365036838
5,6,0.3874178226524608,11.922083721146013,0.17749497655726726
5,7,0.38505449664884484,11.843215597753442,0.17481580709979908
5,8,0.38039451509497024,11.691572021042886,0.18352310783657066
5,9,0.3743726035781644,11.4557586679154,0.1942397856664434
5,10,0.3711197579345315,11.305354666171812,0.1982585398526457
5,11,0.3698843716015458,11.207971181531128,0.2042866711319491
5,12,0.36729905664083345,11.10805169192644,0.20629604822505024
5,13,0.3682877902586771,11.111992714437458,0.20830542531815138
5,14,0.3700697440307679,11.13876440222723,0.21500334896182183
5,15,0.3703198774751812,11.166091036670407,0.2143335565974548
5,16,0.3738555878011205,11.307906691061413,0.21098459477561957
5,17,0.37597828414084083,11.3793955969609,0.19691895512391158
5,18,0.3801561250494548,11.523431231267802,0.19758874748827862
5,19,0.3843908589374367,11.666177515273295,0.1955793703951775
5,20,0.3879958056742389,11.77814597027591,0.19691895512391158
5,21,0.3883591505114328,11.813937077593245,0.18833780160857908
5,22,0.38748966305815125,11.822307444360359,0.1855324849296718
5,23,0.3896984063347807,11.931383227548666,0.17280643000669793
6,0,0.3930829893593119,12.041539087168694,0.1768251841929002
6,1,0.3933686478289959,12.049660319586643,0.1768251841929002
6,2,0.3935212955792042,12.054497708884847,0.1768251841929002
6,3,0.39355691152238875,12.055592766242464,0.1768251841929002
6,4,0.3925456709676168,12.025543807610116,0.17347622237106497
6,5,0.3911335338719314,11.967532105090713,0.17213663764233086
6,6,0.39093691569869754,11.929886995493158,0.18955123911587407
6,7,0.38955732078758404,11.87960557155132,0.19758874748827862
6,8,0.3861503762974114,11.747729761493995,0.2156731413261889
6,9,0.3790105832954002,11.512575061687588,0.21701272605492297
6,10,0.37334476644420495,11.331685479810062,0.24313462826523777
6,11,0.37235392571124337,11.268584660111788,0.24380442062960483
6,12,0.3695753430008196,11.17180476180811,0.25184192900200936
6,13,0.3697452674921712,11.171486682923387,0.2565304755525787
6,14,0.37025205586894144,11.170307635729605,0.24380442062960483
6,15,0.37022074117850895,11.195069414845035,0.23978566644340255
6,16,0.37160910555308574,11.278507228055117,0.21232417950435364
6,17,0.3750098298430961,11.41379354254438,0.20897521768251842
6,18,0.37793530216453763,11.538539422548128,0.20361687876758205
6,19,0.3817390732145513,11.685412758336401,0.19290020093770932
6,20,0.3828454583658699,11.760097119892833,0.18821165438714
6,21,0.3826540184043661,11.798685520403538,0.17481580709979908
6,22,0.3843485229371328,11.878252286524223,0.16342933690555927
6,23,0.38586312553354996,11.957880716068928,0.16008037508372405
